ECG,EDA,EMG,TEMP
124022,2402,820,27.00
124044,2407,821,27.00
123993,2407,822,27.00
123863,2410,821,27.00
123690,2405,825,27.00
123474,2402,823,27.00
123283,2405,819,27.00
123115,2407,821,27.00
123002,2403,821,27.00
123234,2405,822,27.00
123813,2399,822,27.00
124097,2403,821,27.00
124251,2401,823,27.00
124393,2403,825,27.00
124435,2400,823,27.00
124446,2400,823,27.00
124460,2395,826,27.00
124462,2400,822,27.00
124461,2405,823,27.00
124465,2405,821,27.00
124454,2404,819,27.00
124413,2402,821,27.00
124367,2403,818,27.00
124333,2400,818,27.00
124260,2401,821,27.00
124217,2411,819,27.00
124181,2413,823,27.00
124134,2409,821,27.00
124073,2406,822,27.00
124016,2406,821,27.00
123948,2406,823,27.00
123905,2406,823,27.00
123894,2406,823,27.00
123911,2405,825,27.00
123943,2405,820,27.00
123967,2410,821,27.00
123984,2405,825,27.00
123987,2409,822,27.00
123997,2404,818,27.00
124025,2408,818,27.00
124009,2403,817,27.00
123984,2403,822,27.00
123938,2407,821,27.00
123906,2405,821,27.00
123862,2405,821,27.00
123828,2403,821,27.00
123814,2403,819,27.00
123770,2407,826,27.00
123721,2411,823,27.00
123711,2407,821,27.00
123693,2410,823,27.00
123680,2403,823,27.00
123629,2411,823,27.00
123615,2403,822,27.00
123611,2405,822,27.00
123617,2407,822,27.00
123587,2407,822,27.00
123569,2406,823,27.00
123578,2406,823,27.00
123590,2406,822,27.00
123579,2403,827,27.00
123563,2406,821,27.00
123576,2409,823,27.00
123579,2403,824,27.00
123611,2405,822,27.00
123645,2410,822,27.00
123635,2409,823,27.00
123629,2412,820,27.00
123601,2405,822,27.00
123593,2410,822,27.00
123593,2407,823,27.00
123601,2407,825,27.00
123629,2405,824,27.00
123639,2411,824,27.00
123647,2409,819,27.00
123652,2407,823,27.00
123642,2403,823,27.00
123634,2404,823,27.00
123654,2403,823,27.00
123667,2401,823,27.00
123665,2406,822,27.00
123681,2413,819,27.00
123664,2405,821,27.00
123674,2403,820,27.00
123689,2405,818,27.00
123696,2405,822,27.00
123695,2407,823,27.00
123714,2416,823,27.00
123742,2403,820,27.00
123753,2407,822,27.00
123820,2398,825,27.00
123830,2406,822,27.00
123852,2406,823,27.00
123834,2405,820,27.00
123857,2409,821,27.00
123861,2403,819,27.00
123838,2406,820,27.00
123850,2406,820,27.00
123862,2405,822,27.00
123869,2407,822,27.00
123870,2406,823,27.00
123867,2407,826,27.00
123905,2409,825,27.00
123929,2405,820,27.00
123947,2409,825,27.00
123968,2410,823,27.00
123982,2407,824,27.00
123992,2407,822,27.00
123968,2406,823,27.00
123958,2407,825,27.00
123942,2407,823,27.00
123931,2405,822,27.00
123924,2399,825,27.00
123930,2397,822,27.00
123919,2405,823,27.00
123929,2411,826,27.00
123941,2406,825,27.00
123933,2406,823,27.00
123916,2407,821,27.00
123924,2403,821,27.00
123906,2406,825,27.00
123894,2411,823,27.00
123877,2406,826,27.00
123876,2415,822,27.00
123842,2403,823,27.00
123784,2404,827,27.00
123765,2403,822,27.00
123740,2405,821,27.00
123709,2402,816,27.00
123697,2409,819,27.00
123684,2406,823,27.00
123659,2404,821,27.00
123666,2411,822,27.00
123667,2406,823,27.00
123707,2411,825,27.00
123743,2406,826,27.00
123765,2408,826,27.00
123791,2409,827,27.00
123813,2407,826,27.00
123830,2407,822,27.00
123834,2407,822,27.00
123887,2405,822,27.00
123896,2406,826,27.00
123894,2403,824,27.00
123885,2409,821,27.00
123895,2406,823,27.00
123858,2407,823,27.00
123832,2401,825,27.00
123799,2407,823,27.00
123753,2401,824,27.00
123720,2404,821,27.00
123693,2401,826,27.00
123675,2406,825,27.00
123680,2409,823,27.00
123681,2404,824,27.00
123691,2406,822,27.00
123662,2400,822,27.00
123668,2397,823,27.00
123707,2403,821,27.00
123778,2397,819,27.00
123865,2396,817,27.00
123954,2401,820,27.00
124021,2398,820,27.00
124067,2400,822,27.00
124123,2401,823,27.00
124149,2402,823,27.00
124172,2402,823,27.00
124152,2396,822,27.00
124032,2397,821,27.00
123838,2397,816,27.00
123552,2403,821,27.00
123205,2405,822,27.00
122849,2405,823,27.00
122515,2401,822,27.00
122192,2403,823,27.00
121941,2405,823,27.00
121697,2407,826,27.00
121509,2407,821,27.00
121414,2405,825,27.00
121447,2407,821,27.00
121401,2406,823,27.00
121305,2406,825,27.00
121168,2406,824,27.00
121025,2408,823,27.00
120998,2406,826,27.00
121130,2405,826,27.00
121386,2399,823,27.00
121690,2406,826,27.00
121967,2399,821,27.00
122172,2404,821,27.00
122542,2401,817,27.00
122582,2405,820,27.00
122567,2432,826,27.00
122463,2402,823,27.00
122489,2400,823,27.00
122624,2406,825,27.00
122766,2403,818,27.00
122881,2404,823,27.00
122966,2405,823,27.00
123040,2403,823,27.00
123155,2407,824,27.00
123243,2405,827,27.00
123315,2396,822,27.00
123276,2397,821,27.00
123181,2431,826,27.00
123100,2397,821,27.00
123081,2399,824,27.00
123049,2395,819,27.00
123003,2395,820,27.00
122945,2400,821,27.00
122883,2399,823,27.00
122833,2395,825,27.00
122819,2399,821,27.00
122839,2397,825,27.00
122798,2400,821,27.00
122732,2400,825,27.00
122687,2403,827,27.00
122661,2400,823,27.00
122640,2403,824,27.00
122644,2399,819,27.00
122711,2400,819,27.00
122768,2406,827,27.00
122835,2407,821,27.00
122835,2398,820,27.00
122781,2406,823,27.00
122734,2405,823,27.00
122724,2407,826,27.00
122700,2405,825,27.00
122626,2411,825,27.00
122546,2400,821,27.00
122469,2407,825,27.00
122341,2407,825,27.00
122210,2406,823,27.00
122131,2407,825,27.00
122058,2409,821,27.00
121979,2401,823,27.00
121851,2403,826,27.00
121697,2405,826,27.00
121535,2403,825,27.00
121422,2406,822,27.00
121417,2409,818,27.00
121506,2402,820,27.00
121732,2409,823,27.00
121977,2406,829,27.00
122173,2405,821,27.00
122400,2403,822,27.00
122632,2402,823,27.00
122747,2403,822,27.00
122772,2401,819,27.00
122763,2406,819,27.00
122735,2405,818,27.00
122718,2403,818,27.00
122673,2406,823,27.00
122628,2405,822,27.00
122610,2406,823,27.00
122616,2403,821,27.00
122614,2406,822,27.00
122585,2407,825,27.00
122609,2401,822,27.00
122620,2407,825,27.00
122638,2404,826,27.00
122629,2401,826,27.00
122629,2404,823,27.00
122689,2413,825,27.00
122776,2407,823,27.00
122883,2401,822,27.00
122912,2404,820,27.00
122952,2405,825,27.00
122995,2402,817,27.00
123046,2400,819,27.00
123058,2405,819,27.00
123066,2403,822,27.00
123086,2408,827,27.00
123080,2405,824,27.00
123065,2404,822,27.00
123041,2402,822,27.00
123006,2406,821,27.00
122956,2409,818,27.00
122875,2401,819,27.00
122784,2405,831,27.00
122700,2405,822,27.00
122630,2404,820,27.00
122598,2404,822,27.00
122571,2406,822,27.00
122538,2407,827,27.00
122484,2405,826,27.00
122448,2406,823,27.00
122419,2410,822,27.00
122419,2405,822,27.00
122400,2405,822,27.00
122436,2414,822,27.00
122474,2407,828,27.00
122468,2405,823,27.00
122424,2405,822,27.00
122390,2405,820,27.00
122416,2412,819,27.00
122411,2407,821,27.00
122452,2402,822,27.00
122456,2407,822,27.00
122487,2407,821,27.00
122489,2405,823,27.00
122505,2403,821,27.00
122539,2435,823,27.00
122599,2403,823,27.00
122611,2403,818,27.00
122636,2403,820,27.00
122663,2407,819,27.00
122705,2409,821,27.00
122721,2408,823,27.00
122734,2411,823,27.00
122731,2410,825,27.00
122765,2403,823,27.00
122732,2404,823,27.00
122668,2403,822,27.00
122619,2403,822,27.00
122563,2407,822,27.00
122553,2406,823,27.00
122565,2408,822,27.00
122565,2406,826,27.00
122563,2412,823,27.00
122576,2405,821,27.00
122567,2402,819,27.00
122569,2407,820,27.00
122600,2406,823,27.00
122582,2411,822,27.00
122562,2407,825,27.00
122549,2405,820,27.00
122549,2407,827,27.00
122558,2405,822,27.00
122587,2416,826,27.00
122626,2406,826,27.00
122653,2401,823,27.00
122684,2415,822,27.00
122709,2411,821,27.00
122697,2405,816,27.00
122742,2407,821,27.00
122764,2402,818,27.00
122788,2404,823,27.00
122769,2409,817,27.00
122750,2403,819,27.00
122739,2409,823,27.00
122743,2410,822,27.00
122756,2407,823,27.00
122796,2407,825,27.00
122793,2404,822,27.00
122772,2405,826,27.00
122782,2406,825,27.00
122781,2406,819,27.00
122830,2405,822,27.00
122878,2407,821,27.00
122892,2407,823,27.00
122902,2409,823,27.00
122955,2407,825,27.00
122989,2413,826,27.00
123030,2403,821,27.00
123057,2405,823,27.00
123117,2409,823,27.00
123162,2414,825,27.00
123199,2407,822,27.00
123227,2407,826,27.00
123232,2407,823,27.00
123271,2405,823,27.00
123304,2401,823,27.00
123314,2402,823,27.00
123309,2405,825,27.00
123330,2402,821,27.00
123335,2404,822,27.00
123342,2403,818,27.00
123359,2405,817,27.00
123359,2405,819,27.00
123346,2407,819,27.00
123344,2410,821,27.00
123325,2402,821,27.00
123307,2405,823,27.00
123351,2403,823,27.00
123331,2403,826,27.00
123310,2404,819,27.00
123267,2407,821,27.00
123231,2403,817,27.00
123173,2400,816,27.00
123087,2403,818,27.00
123014,2407,819,27.00
122910,2405,822,27.00
122802,2402,819,27.00
122748,2411,823,27.00
122701,2409,825,27.00
122670,2410,825,27.00
122656,2406,827,27.00
122664,2407,823,27.00
122676,2407,825,27.00
122682,2410,822,27.00
122695,2407,823,27.00
122682,2410,821,27.00
122709,2411,822,27.00
122743,2403,825,27.00
122779,2404,822,27.00
122801,2400,821,27.00
122816,2401,822,27.00
122827,2413,822,27.00
122883,2410,823,27.00
122959,2403,825,27.00
123014,2407,822,27.00
123074,2411,826,27.00
123128,2407,823,27.00
123222,2407,825,27.00
123308,2405,825,27.00
123415,2404,824,27.00
123499,2401,823,27.00
123538,2400,825,27.00
123615,2399,825,27.00
123683,2400,822,27.00
123744,2403,822,27.00
123821,2399,816,27.00
123896,2396,825,27.00
123979,2401,821,27.00
124077,2402,821,27.00
124224,2403,825,27.00
124321,2399,822,27.00
124421,2401,819,27.00
124502,2401,823,27.00
124539,2399,823,27.00
124573,2396,823,27.00
124607,2396,823,27.00
124661,2401,822,27.00
124692,2399,819,27.00
124784,2399,821,27.00
124824,2402,823,27.00
124859,2402,822,27.00
124886,2400,823,27.00
124912,2410,827,27.00
124932,2399,824,27.00
124971,2405,822,27.00
124992,2399,825,27.00
125007,2400,825,27.00
125019,2404,827,27.00
125025,2396,821,27.00
125033,2400,823,27.00
125060,2399,823,27.00
125068,2398,821,27.00
125078,2395,826,27.00
125085,2420,822,27.00
125073,2400,822,27.00
125083,2395,819,27.00
125061,2402,820,27.00
125058,2400,822,27.00
125062,2398,819,27.00
125043,2400,823,27.00
125031,2401,821,27.00
125014,2399,823,27.00
124996,2400,826,27.00
124992,2394,821,27.00
124986,2393,821,27.00
124957,2398,819,27.00
124952,2395,818,27.00
124928,2399,822,27.00
124897,2400,832,27.00
124888,2399,821,27.00
124895,2398,822,27.00
124899,2400,822,27.00
124914,2407,821,27.00
124899,2401,821,27.00
124890,2401,826,27.00
124859,2399,826,27.00
124856,2398,823,27.00
124844,2399,824,27.00
124861,2395,826,27.00
124861,2401,830,27.00
124883,2398,827,27.00
124878,2405,823,27.00
124886,2399,827,27.00
124899,2394,822,27.00
124899,2401,825,27.00
124886,2394,823,27.00
124878,2394,820,27.00
124875,2397,819,27.00
124851,2384,818,27.00
124872,2395,825,27.00
124886,2403,821,27.00
124861,2402,823,27.00
124856,2399,823,27.00
124855,2396,823,27.00
124831,2389,825,27.00
124836,2399,822,27.00
124859,2397,826,27.00
124859,2394,822,27.00
124863,2398,819,27.00
124864,2395,819,27.00
124858,2397,819,27.00
124851,2398,820,27.00
124871,2399,822,27.00
124877,2397,823,27.00
124890,2398,822,27.00
124867,2397,822,27.00
124875,2398,821,27.00
124853,2398,826,27.00
124860,2401,826,27.00
124859,2395,822,27.00
124844,2401,825,27.00
124823,2401,822,27.00
124825,2403,825,27.00
124812,2395,823,27.00
124799,2398,821,27.00
124820,2399,821,27.00
124789,2401,822,27.00
124746,2399,825,27.00
124692,2399,825,27.00
124653,2394,822,27.00
124638,2396,823,27.00
124635,2395,823,27.00
124649,2403,826,27.00
124653,2397,825,27.00
124664,2398,822,27.00
124668,2401,822,27.00
124669,2395,821,27.00
124677,2400,826,27.00
124705,2387,822,27.00
124718,2416,823,27.00
124714,2390,824,27.00
124705,2395,819,27.00
124682,2395,820,27.00
124689,2391,822,27.00
124702,2389,820,27.00
124686,2395,823,27.00
124671,2391,826,27.00
124667,2395,824,27.00
124667,2395,823,27.00
124628,2397,823,27.00
124632,2389,828,27.00
124643,2395,822,27.00
124608,2394,823,27.00
124584,2391,820,27.00
124571,2391,821,27.00
124537,2391,818,27.00
124534,2397,832,27.00
124532,2395,825,27.00
124525,2394,823,27.00
124503,2405,822,27.00
124496,2399,823,27.00
124495,2387,826,27.00
124526,2400,826,27.00
124513,2399,819,27.00
124525,2393,823,27.00
124531,2394,829,27.00
124515,2395,825,27.00
124522,2397,822,27.00
124491,2399,821,27.00
124484,2400,822,27.00
124479,2398,823,27.00
124456,2390,823,27.00
124410,2391,822,27.00
124406,2390,822,27.00
124421,2389,821,27.00
124460,2398,823,27.00
124527,2397,822,27.00
124518,2396,823,27.00
124496,2391,822,27.00
124461,2390,824,27.00
124397,2394,823,27.00
124343,2396,825,27.00
124338,2391,825,27.00
124336,2393,822,27.00
124311,2389,823,27.00
124268,2389,826,27.00
124253,2398,821,27.00
124239,2389,817,27.00
124258,2388,819,27.00
124262,2389,818,27.00
124256,2398,823,27.00
124239,2390,828,27.00
124238,2390,822,27.00
124209,2386,825,27.00
124187,2391,821,27.00
124168,2395,823,27.00
124144,2395,821,27.00
124114,2391,825,27.00
124090,2391,823,27.00
124062,2391,826,27.00
124036,2391,823,27.00
124014,2389,820,27.00
123985,2391,821,27.00
123930,2384,819,27.00
123867,2387,826,27.00
123829,2386,821,27.00
123762,2388,821,27.00
123721,2387,821,27.00
123694,2387,822,27.00
123714,2388,826,27.00
123741,2389,825,27.00
123758,2384,821,27.00
123774,2389,823,27.00
123786,2386,829,27.00
123741,2387,826,27.00
123681,2387,822,27.00
123650,2386,826,27.00
123623,2387,825,27.00
123556,2387,823,27.00
123468,2390,823,27.00
123432,2391,823,27.00
123371,2389,826,27.00
123275,2386,823,27.00
123203,2385,822,27.00
123166,2384,823,27.00
123160,2384,825,27.00
123183,2388,823,27.00
123249,2390,825,27.00
123307,2379,822,27.00
123395,2391,825,27.00
123485,2386,823,27.00
123588,2386,823,27.00
123730,2390,825,27.00
123916,2394,822,27.00
124133,2387,821,27.00
124342,2390,823,27.00
124518,2391,826,27.00
124675,2388,825,27.00
124858,2385,823,27.00
125078,2384,826,27.00
125216,2389,825,27.00
125248,2385,822,27.00
125259,2392,818,27.00
125305,2391,822,27.00
125378,2387,820,27.00
125557,2390,817,27.00
125750,2396,817,27.00
125936,2397,831,27.00
126073,2400,822,27.00
126185,2398,822,27.00
126238,2404,826,27.00
126197,2402,822,27.00
126135,2401,819,27.00
126077,2401,822,27.00
125978,2397,825,27.00
125876,2399,822,27.00
125826,2400,821,27.00
125781,2405,826,27.00
125802,2401,823,27.00
125863,2404,821,27.00
125902,2406,816,27.00
125900,2405,816,27.00
125874,2405,817,27.00
125837,2407,822,27.00
125822,2407,818,27.00
125815,2407,822,27.00
125802,2415,822,27.00
125784,2405,823,27.00
125764,2403,823,27.00
125772,2399,823,27.00
125754,2400,825,27.00
125749,2399,822,27.00
125760,2402,820,27.00
125740,2404,825,27.00
125694,2403,826,27.00
125567,2400,823,27.00
125392,2401,823,27.00
125233,2401,823,27.00
125092,2405,822,27.00
124813,2403,821,27.00
124444,2405,823,27.00
123973,2403,825,27.00
123406,2405,823,27.00
123600,2406,823,27.00
123960,2404,822,27.00
123976,2407,825,27.00
123785,2403,822,27.00
123624,2407,826,27.00
123645,2407,823,27.00
123807,2407,823,27.00
124036,2409,824,27.00
124248,2405,825,27.00
124441,2411,828,27.00
124571,2404,825,27.00
124655,2405,823,27.00
124656,2407,823,27.00
124631,2407,827,27.00
124608,2400,823,27.00
124593,2401,822,27.00
124524,2407,826,27.00
124449,2403,821,27.00
124369,2406,821,27.00
124315,2405,822,27.00
124295,2403,822,27.00
124221,2409,825,27.00
124096,2413,822,27.00
123954,2406,821,27.00
123819,2414,823,27.00
123709,2409,825,27.00
123626,2406,826,27.00
123520,2404,823,27.00
123405,2406,823,27.00
123275,2401,823,27.00
123137,2407,825,27.00
122953,2403,821,27.00
122769,2403,822,27.00
122559,2403,819,27.00
122331,2401,821,27.00
122246,2403,819,27.00
122406,2403,818,27.00
122634,2404,819,27.00
122795,2405,818,27.00
122865,2403,817,27.00
122884,2402,819,27.00
122839,2401,816,27.00
122701,2403,818,27.00
122426,2405,817,27.00
122038,2403,818,27.00
121748,2409,822,27.00
121668,2404,825,27.00
121726,2405,828,27.00
121918,2405,822,27.00
122053,2405,825,27.00
122070,2405,820,27.00
121927,2403,821,27.00
121553,2407,824,27.00
120978,2407,821,27.00
120302,2410,823,27.00
119729,2405,828,27.00
119399,2405,823,27.00
119253,2400,826,27.00
119177,2398,825,27.00
118980,2403,822,27.00
118581,2395,821,27.00
118126,2399,824,27.00
117715,2401,819,27.00
117232,2395,819,27.00
116684,2399,821,27.00
116354,2401,819,27.00
116499,2401,818,27.00
117182,2402,832,27.00
118069,2400,820,27.00
118940,2399,822,27.00
119704,2405,823,27.00
120556,2405,824,27.00
121453,2405,826,27.00
122265,2403,823,27.00
122894,2402,823,27.00
123289,2402,823,27.00
123412,2399,820,27.00
123474,2399,826,27.00
123555,2398,826,27.00
123664,2413,821,27.00
123746,2409,822,27.00
123825,2400,821,27.00
123835,2406,823,27.00
123804,2402,823,27.00
123628,2406,822,27.00
123487,2399,819,27.00
123335,2400,819,27.00
123164,2402,817,27.00
122781,2406,819,27.00
122037,2403,821,27.00
120980,2399,821,27.00
119906,2403,822,27.00
119085,2399,823,27.00
118664,2401,821,27.00
118549,2398,821,27.00
118592,2399,823,27.00
118583,2397,825,27.00
118593,2398,826,27.00
118525,2397,822,27.00
118419,2396,819,27.00
118535,2394,823,27.00
118917,2396,821,27.00
119410,2397,822,27.00
119883,2401,822,27.00
122228,2384,822,27.00
122049,2390,821,27.00
121856,2387,823,27.00
121758,2390,824,27.00
121792,2390,825,27.00
121902,2387,825,27.00
122249,2388,822,27.00
122937,2384,822,27.00
123519,2382,825,27.00
123884,2378,826,27.00
124103,2371,826,27.00
124228,2373,821,27.00
124308,2379,821,27.00
124352,2370,823,27.00
124361,2373,825,27.00
124322,2373,821,27.00
124284,2373,822,27.00
124255,2374,821,27.00
124214,2374,820,27.00
124197,2377,823,27.00
124198,2378,822,27.00
124189,2375,822,27.00
124197,2371,825,27.00
124195,2374,823,27.00
124171,2377,822,27.00
124158,2375,822,27.00
124115,2377,824,27.00
124014,2379,823,27.00
123913,2374,822,27.00
123854,2381,826,27.00
123841,2374,822,27.00
123840,2373,825,27.00
123849,2375,822,27.00
123878,2370,823,27.00
123891,2373,823,27.00
123896,2370,826,27.00
123913,2367,823,27.00
123883,2370,823,27.00
123880,2370,818,27.00
123851,2371,819,27.00
123796,2370,821,27.00
123710,2372,817,27.00
123643,2368,818,27.00
123561,2371,819,27.00
123458,2374,822,27.00
123391,2368,823,27.00
123275,2375,822,27.00
123152,2379,822,27.00
123065,2370,822,27.00
123002,2355,825,27.00
122982,2371,825,27.00
123012,2367,821,27.00
123100,2368,820,27.00
123160,2368,826,27.00
123164,2368,827,27.00
123155,2368,822,27.00
123137,2368,822,27.00
123151,2368,822,27.00
123168,2368,818,27.00
123194,2369,817,27.00
123176,2368,821,27.00
123144,2367,820,27.00
123122,2368,817,27.00
123146,2365,822,27.00
123174,2368,821,27.00
123194,2368,823,27.00
123222,2367,823,27.00
123235,2363,823,27.00
123248,2365,823,27.00
123244,2363,826,27.00
123258,2363,821,27.00
123263,2359,819,27.00
123239,2363,817,27.00
123211,2361,819,27.00
123199,2364,819,27.00
123172,2362,818,27.00
123170,2362,820,27.00
123171,2353,823,27.00
123174,2367,825,27.00
123156,2366,822,27.00
123137,2368,821,27.00
123115,2366,825,27.00
123125,2362,821,27.00
123126,2368,823,27.00
123112,2364,821,27.00
123124,2364,822,27.00
123115,2359,826,27.00
123126,2365,823,27.00
123127,2363,826,27.00
123141,2362,825,27.00
123131,2362,823,27.00
123131,2365,823,27.00
123120,2368,825,27.00
123127,2368,823,27.00
123098,2368,822,27.00
123039,2358,818,27.00
122977,2362,820,27.00
122918,2365,822,27.00
122893,2361,821,27.00
122883,2366,821,27.00
122866,2368,819,27.00
122861,2362,822,27.00
122888,2362,819,27.00
122911,2374,822,27.00
122939,2365,823,27.00
122946,2367,822,27.00
122968,2367,822,27.00
122988,2366,823,27.00
123047,2368,827,27.00
123108,2368,823,27.00
123153,2368,823,27.00
123175,2368,823,27.00
123205,2375,825,27.00
123202,2368,823,27.00
123166,2369,822,27.00
123113,2371,822,27.00
123034,2362,826,27.00
122952,2368,823,27.00
122890,2368,825,27.00
122873,2365,823,27.00
122966,2365,825,27.00
123203,2362,825,27.00
123352,2365,822,27.00
123381,2362,822,27.00
123398,2358,823,27.00
123439,2361,823,27.00
123480,2363,823,27.00
123498,2359,823,27.00
123513,2364,823,27.00
123536,2361,826,27.00
123529,2363,825,27.00
123513,2357,823,27.00
123493,2362,823,27.00
123485,2365,825,27.00
123476,2362,829,27.00
123492,2360,824,27.00
123501,2362,824,27.00
123529,2359,823,27.00
123551,2359,822,27.00
123540,2352,826,27.00
123534,2359,822,27.00
123526,2365,825,27.00
123486,2358,823,27.00
123393,2362,823,27.00
123302,2362,822,27.00
123231,2362,822,27.00
123147,2359,821,27.00
123061,2367,821,27.00
122921,2357,822,27.00
122834,2359,826,27.00
122786,2359,821,27.00
122756,2359,823,27.00
122706,2357,823,27.00
122691,2359,825,27.00
122692,2362,822,27.00
122658,2363,825,27.00
122611,2361,823,27.00
122587,2365,821,27.00
122567,2358,820,27.00
122584,2358,821,27.00
122567,2357,822,27.00
122549,2358,826,27.00
122532,2356,826,27.00
122520,2362,823,27.00
122509,2361,823,27.00
122493,2363,825,27.00
122525,2361,822,27.00
122533,2362,823,27.00
122529,2363,825,27.00
122487,2354,827,27.00
122458,2356,822,27.00
122392,2359,830,27.00
122337,2359,829,27.00
122314,2364,827,27.00
122254,2358,825,27.00
122202,2359,822,27.00
122182,2360,823,27.00
122160,2358,821,27.00
122124,2355,821,27.00
122095,2356,823,27.00
122077,2362,826,27.00
122086,2359,825,27.00
122095,2363,823,27.00
122120,2367,825,27.00
122109,2364,826,27.00
122104,2358,827,27.00
122098,2363,827,27.00
122084,2359,828,27.00
122062,2359,825,27.00
122067,2357,822,27.00
122044,2357,822,27.00
122076,2352,823,27.00
122086,2357,822,27.00
122083,2372,823,27.00
122050,2353,824,27.00
122043,2354,821,27.00
122027,2361,821,27.00
122014,2355,822,27.00
122041,2357,823,27.00
122076,2357,823,27.00
122093,2358,821,27.00
122094,2357,823,27.00
122091,2361,822,27.00
122096,2359,825,27.00
122089,2359,821,27.00
122090,2363,823,27.00
122079,2358,823,27.00
122070,2364,825,27.00
122064,2353,822,27.00
122039,2354,823,27.00
122009,2352,827,27.00
121976,2356,823,27.00
121949,2353,826,27.00
121929,2354,822,27.00
121896,2361,825,27.00
121890,2358,825,27.00
121880,2353,821,27.00
121890,2359,821,27.00
121890,2359,821,27.00
121867,2357,819,27.00
121850,2357,819,27.00
121828,2354,818,27.00
121810,2354,817,27.00
121786,2358,825,27.00
121789,2361,821,27.00
121733,2359,823,27.00
121695,2361,826,27.00
121662,2362,822,27.00
121644,2362,824,27.00
121638,2361,823,27.00
121631,2355,825,27.00
121644,2355,823,27.00
121626,2352,826,27.00
121599,2357,827,27.00
121591,2361,821,27.00
121617,2359,821,27.00
121653,2359,822,27.00
121661,2359,817,27.00
121654,2357,817,27.00
121647,2357,823,27.00
121665,2358,821,27.00
121609,2363,823,27.00
121559,2362,818,27.00
121546,2359,818,27.00
121583,2364,821,27.00
121638,2359,821,27.00
121666,2362,823,27.00
121677,2361,821,27.00
121676,2357,826,27.00
121741,2353,823,27.00
121731,2353,824,27.00
121714,2359,818,27.00
121717,2378,825,27.00
121737,2357,823,27.00
121749,2354,821,27.00
121740,2358,828,27.00
121751,2357,819,27.00
121770,2358,817,27.00
121775,2355,820,27.00
121793,2355,819,27.00
121797,2354,819,27.00
121814,2354,818,27.00
121815,2359,820,27.00
121797,2363,825,27.00
121760,2363,822,27.00
121703,2361,823,27.00
121674,2358,826,27.00
121668,2359,822,27.00
121712,2362,823,27.00
121727,2358,825,27.00
121673,2363,822,27.00
121622,2359,823,27.00
121640,2359,825,27.00
121688,2358,822,27.00
121732,2355,825,27.00
121800,2359,821,27.00
121838,2357,821,27.00
121902,2358,821,27.00
121989,2358,819,27.00
122085,2359,816,27.00
122138,2362,817,27.00
122157,2363,818,27.00
122153,2370,820,27.00
122164,2366,821,27.00
122177,2366,819,27.00
122196,2366,823,27.00
122215,2367,821,27.00
122290,2368,823,27.00
122335,2369,823,27.00
122378,2366,822,27.00
122376,2368,821,27.00
122368,2368,823,27.00
122336,2366,823,27.00
122298,2368,822,27.00
122277,2368,822,27.00
122221,2362,822,27.00
122187,2367,826,27.00
122226,2367,823,27.00
122258,2368,825,27.00
122256,2368,822,27.00
122217,2364,824,27.00
122137,2368,823,27.00
122013,2365,818,27.00
121873,2368,819,27.00
121779,2366,820,27.00
121717,2366,818,27.00
121684,2365,818,27.00
121602,2362,821,27.00
121469,2359,821,27.00
121356,2365,819,27.00
121297,2359,819,27.00
121258,2363,820,27.00
121264,2368,818,27.00
